nmm_text_id,expected_nmm_id,extracted_nmm_ids,correct
nmm_t_1,nmm-0001,[],False
nmm_t_2,nmm-0001,['nmm-0001'],True
nmm_t_3,nmm-0001,['nmm-0001'],True
nmm_t_4,nmm-0001,['nmm-0001'],True
nmm_t_5,nmm-0002,[],False
nmm_t_6,nmm-0002,['nmm-0002'],True
nmm_t_7,nmm-0002,['nmm-0002'],True
nmm_t_8,nmm-0002,['nmm-0002'],True
nmm_t_9,nmm-0003,[],False
nmm_t_10,nmm-0003,['nmm-0003'],True
nmm_t_11,nmm-0003,['nmm-0003'],True
nmm_t_12,nmm-0003,['nmm-0003'],True
nmm_t_13,nmm-0004,[],False
nmm_t_14,nmm-0004,['nmm-0004'],True
nmm_t_15,nmm-0004,['nmm-0004'],True
nmm_t_16,nmm-0004,['nmm-0004'],True
nmm_t_17,nmm-0005,[],False
nmm_t_18,nmm-0005,['nmm-0005'],True
nmm_t_19,nmm-0005,['nmm-0005'],True
nmm_t_20,nmm-0005,['nmm-0005'],True
nmm_t_21,nmm-0006,[],False
nmm_t_22,nmm-0006,['nmm-0006'],True
nmm_t_23,nmm-0006,['nmm-0006'],True
nmm_t_24,nmm-0006,['nmm-0006'],True
nmm_t_25,nmm-0007,[],False
nmm_t_26,nmm-0007,['nmm-0007'],True
nmm_t_27,nmm-0007,['nmm-0007'],True
nmm_t_28,nmm-0007,['nmm-0007'],True
nmm_t_29,nmm-0008,[],False
nmm_t_30,nmm-0008,['nmm-0008'],True
nmm_t_31,nmm-0008,['nmm-0008'],True
nmm_t_32,nmm-0008,['nmm-0008'],True
nmm_t_33,nmm-0009,[],False
nmm_t_34,nmm-0009,['nmm-0009'],True
nmm_t_35,nmm-0009,['nmm-0009'],True
nmm_t_36,nmm-0009,['nmm-0009'],True
nmm_t_37,nmm-000a,[],False
nmm_t_38,nmm-000a,['nmm-000a'],True
nmm_t_39,nmm-000a,['nmm-000a'],True
nmm_t_40,nmm-000a,['nmm-000a'],True
nmm_t_41,nmm-000b,[],False
nmm_t_42,nmm-000b,['nmm-000b'],True
nmm_t_43,nmm-000b,['nmm-000b'],True
nmm_t_44,nmm-000b,['nmm-000b'],True
nmm_t_45,nmm-000c,[],False
nmm_t_46,nmm-000c,['nmm-000c'],True
nmm_t_47,nmm-000c,['nmm-000c'],True
nmm_t_48,nmm-000c,['nmm-000c'],True
nmm_t_49,nmm-000d,[],False
nmm_t_50,nmm-000d,['nmm-000d'],True
nmm_t_51,nmm-000d,['nmm-000d'],True
nmm_t_52,nmm-000d,['nmm-000d'],True
nmm_t_53,nmm-000e,[],False
nmm_t_54,nmm-000e,['nmm-000e'],True
nmm_t_55,nmm-000e,['nmm-000e'],True
nmm_t_56,nmm-000e,['nmm-000e'],True
nmm_t_57,nmm-000f,[],False
nmm_t_58,nmm-000f,['nmm-000f'],True
nmm_t_59,nmm-000f,['nmm-000f'],True
nmm_t_60,nmm-000f,['nmm-000f'],True
nmm_t_61,nmm-000g,[],False
nmm_t_62,nmm-000g,['nmm-000g'],True
nmm_t_63,nmm-000g,['nmm-000g'],True
nmm_t_64,nmm-000g,['nmm-000g'],True
nmm_t_65,nmm-000h,[],False
nmm_t_66,nmm-000h,['nmm-000h'],True
nmm_t_67,nmm-000h,['nmm-000h'],True
nmm_t_68,nmm-000h,['nmm-000h'],True
nmm_t_69,nmm-000i,[],False
nmm_t_70,nmm-000i,['nmm-000i'],True
nmm_t_71,nmm-000i,['nmm-000i'],True
nmm_t_72,nmm-000i,['nmm-000i'],True
nmm_t_73,nmm-000j,[],False
nmm_t_74,nmm-000j,['nmm-000j'],True
nmm_t_75,nmm-000j,['nmm-000j'],True
nmm_t_76,nmm-000j,['nmm-000j'],True
nmm_t_77,nmm-000k,[],False
nmm_t_78,nmm-000k,['nmm-000k'],True
nmm_t_79,nmm-000k,['nmm-000k'],True
nmm_t_80,nmm-000k,['nmm-000k'],True
nmm_t_81,nmm-000l,[],False
nmm_t_82,nmm-000l,['nmm-000l'],True
nmm_t_83,nmm-000l,['nmm-000l'],True
nmm_t_84,nmm-000l,['nmm-000l'],True
nmm_t_85,nmm-000m,[],False
nmm_t_86,nmm-000m,['nmm-000m'],True
nmm_t_87,nmm-000m,['nmm-000m'],True
nmm_t_88,nmm-000m,['nmm-000m'],True
nmm_t_89,nmm-000n,[],False
nmm_t_90,nmm-000n,['nmm-000n'],True
nmm_t_91,nmm-000n,['nmm-000n'],True
nmm_t_92,nmm-000n,['nmm-000n'],True
nmm_t_93,nmm-000o,[],False
nmm_t_94,nmm-000o,['nmm-000o'],True
nmm_t_95,nmm-000o,['nmm-000o'],True
nmm_t_96,nmm-000o,['nmm-000o'],True
nmm_t_97,nmm-000p,[],False
nmm_t_98,nmm-000p,['nmm-000p'],True
nmm_t_99,nmm-000p,['nmm-000p'],True
nmm_t_100,nmm-000p,['nmm-000p'],True
nmm_t_101,nmm-000q,[],False
nmm_t_102,nmm-000q,['nmm-000q'],True
nmm_t_103,nmm-000q,['nmm-000q'],True
nmm_t_104,nmm-000q,['nmm-000q'],True
nmm_t_105,nmm-000r,[],False
nmm_t_106,nmm-000r,['nmm-000r'],True
nmm_t_107,nmm-000r,['nmm-000r'],True
nmm_t_108,nmm-000r,['nmm-000r'],True
nmm_t_109,nmm-000s,[],False
nmm_t_110,nmm-000s,['nmm-000s'],True
nmm_t_111,nmm-000s,['nmm-000s'],True
nmm_t_112,nmm-000s,['nmm-000s'],True
nmm_t_113,nmm-000t,[],False
nmm_t_114,nmm-000t,['nmm-000t'],True
nmm_t_115,nmm-000t,['nmm-000t'],True
nmm_t_116,nmm-000t,['nmm-000t'],True
nmm_t_117,nmm-000u,[],False
nmm_t_118,nmm-000u,['nmm-000u'],True
nmm_t_119,nmm-000u,['nmm-000u'],True
nmm_t_120,nmm-000u,['nmm-000u'],True
nmm_t_121,nmm-000v,[],False
nmm_t_122,nmm-000v,['nmm-000v'],True
nmm_t_123,nmm-000v,['nmm-000v'],True
nmm_t_124,nmm-000v,['nmm-000v'],True
nmm_t_125,nmm-000w,[],False
nmm_t_126,nmm-000w,['nmm-000w'],True
nmm_t_127,nmm-000w,['nmm-000w'],True
nmm_t_128,nmm-000w,['nmm-000w'],True
nmm_t_129,nmm-000x,[],False
nmm_t_130,nmm-000x,['nmm-000x'],True
nmm_t_131,nmm-000x,['nmm-000x'],True
nmm_t_132,nmm-000x,['nmm-000x'],True
nmm_t_133,nmm-000y,[],False
nmm_t_134,nmm-000y,['nmm-000y'],True
nmm_t_135,nmm-000y,['nmm-000y'],True
nmm_t_136,nmm-000y,['nmm-000y'],True
nmm_t_137,nmm-000z,[],False
nmm_t_138,nmm-000z,['nmm-000z'],True
nmm_t_139,nmm-000z,['nmm-000z'],True
nmm_t_140,nmm-000z,['nmm-000z'],True
nmm_t_141,nmm-0010,[],False
nmm_t_142,nmm-0010,['nmm-0010'],True
nmm_t_143,nmm-0010,['nmm-0010'],True
nmm_t_144,nmm-0010,['nmm-0010'],True
nmm_t_145,nmm-0011,[],False
nmm_t_146,nmm-0011,['nmm-0011'],True
nmm_t_147,nmm-0011,['nmm-0011'],True
nmm_t_148,nmm-0011,['nmm-0011'],True
nmm_t_149,nmm-0012,[],False
nmm_t_150,nmm-0012,['nmm-0012'],True
nmm_t_151,nmm-0012,['nmm-0012'],True
nmm_t_152,nmm-0012,['nmm-0012'],True
nmm_t_153,nmm-0013,[],False
nmm_t_154,nmm-0013,['nmm-0013'],True
nmm_t_155,nmm-0013,['nmm-0013'],True
nmm_t_156,nmm-0013,['nmm-0013'],True
nmm_t_157,nmm-0014,[],False
nmm_t_158,nmm-0014,['nmm-0014'],True
nmm_t_159,nmm-0014,['nmm-0014'],True
nmm_t_160,nmm-0014,['nmm-0014'],True
nmm_t_161,nmm-0015,[],False
nmm_t_162,nmm-0015,['nmm-0015'],True
nmm_t_163,nmm-0015,['nmm-0015'],True
nmm_t_164,nmm-0015,['nmm-0015'],True
nmm_t_165,nmm-0016,[],False
nmm_t_166,nmm-0016,['nmm-0016'],True
nmm_t_167,nmm-0016,['nmm-0016'],True
nmm_t_168,nmm-0016,['nmm-0016'],True
nmm_t_169,nmm-0017,[],False
nmm_t_170,nmm-0017,['nmm-0017'],True
nmm_t_171,nmm-0017,['nmm-0017'],True
