nmm_text_id,lang,type,nmm_text_for_search,expected_nmm_id
nmm_t_1,en,nmmsn,Artemisia annua Part-aerial is a kind of Natural Medicinal Material.,nmm-0001
nmm_t_2,zh,nmmsn_zh,黄花蒿地上部是一种天然药材。,nmm-0001
nmm_t_3,en,nmmgn,Qing-hao is a kind of Natural Medicinal Material.,nmm-0001
nmm_t_4,zh,nmmgn_zh,青蒿是一种天然药材。,nmm-0001
nmm_t_5,en,nmmsn,Artemisia annua Part-aerial Segmented is a kind of Natural Medicinal Material.,nmm-0002
nmm_t_6,zh,nmmsn_zh,段制黄花蒿地上部是一种天然药材。,nmm-0002
nmm_t_7,en,nmmgn,Qing-hao-duan is a kind of Natural Medicinal Material.,nmm-0002
nmm_t_8,zh,nmmgn_zh,青蒿段是一种天然药材。,nmm-0002
nmm_t_9,en,nmmsn,Ephedra sinica Stem-herbaceous is a kind of Natural Medicinal Material.,nmm-0003
nmm_t_10,zh,nmmsn_zh,草麻黄草质茎是一种天然药材。,nmm-0003
nmm_t_11,en,nmmgn,Cao-ma-huang is a kind of Natural Medicinal Material.,nmm-0003
nmm_t_12,zh,nmmgn_zh,草麻黄是一种天然药材。,nmm-0003
nmm_t_13,en,nmmsn,Ephedra intermedia Stem-herbaceous is a kind of Natural Medicinal Material.,nmm-0004
nmm_t_14,zh,nmmsn_zh,中麻黄草质茎是一种天然药材。,nmm-0004
nmm_t_15,en,nmmgn,Zhong-ma-huang is a kind of Natural Medicinal Material.,nmm-0004
nmm_t_16,zh,nmmgn_zh,中麻黄是一种天然药材。,nmm-0004
nmm_t_17,en,nmmsn,Ephedra equisetina Stem-herbaceous is a kind of Natural Medicinal Material.,nmm-0005
nmm_t_18,zh,nmmsn_zh,木贼麻黄草质茎是一种天然药材。,nmm-0005
nmm_t_19,en,nmmgn,Mu-zei-ma-huang is a kind of Natural Medicinal Material.,nmm-0005
nmm_t_20,zh,nmmgn_zh,木贼麻黄是一种天然药材。,nmm-0005
nmm_t_21,en,nmmsn,Ephedra equisetina vel intermedia vel sinica Stem-herbaceous is a kind of Natural Medicinal Material.,nmm-0006
nmm_t_22,zh,nmmsn_zh,木贼麻黄或中麻黄或草麻黄草质茎是一种天然药材。,nmm-0006
nmm_t_23,en,nmmgn,Ma-huang is a kind of Natural Medicinal Material.,nmm-0006
nmm_t_24,zh,nmmgn_zh,麻黄是一种天然药材。,nmm-0006
nmm_t_25,en,nmmsn,Ephedra sinica Stem-herbaceous Segmented is a kind of Natural Medicinal Material.,nmm-0007
nmm_t_26,zh,nmmsn_zh,段制草麻黄草质茎是一种天然药材。,nmm-0007
nmm_t_27,en,nmmgn,Cao-ma-huang-duan is a kind of Natural Medicinal Material.,nmm-0007
nmm_t_28,zh,nmmgn_zh,草麻黄段是一种天然药材。,nmm-0007
nmm_t_29,en,nmmsn,Ephedra intermedia Stem-herbaceous Segmented is a kind of Natural Medicinal Material.,nmm-0008
nmm_t_30,zh,nmmsn_zh,段制中麻黄草质茎是一种天然药材。,nmm-0008
nmm_t_31,en,nmmgn,Zhong-ma-huang-duan is a kind of Natural Medicinal Material.,nmm-0008
nmm_t_32,zh,nmmgn_zh,中麻黄段是一种天然药材。,nmm-0008
nmm_t_33,en,nmmsn,Ephedra equisetina Stem-herbaceous Segmented is a kind of Natural Medicinal Material.,nmm-0009
nmm_t_34,zh,nmmsn_zh,段制木贼麻黄草质茎是一种天然药材。,nmm-0009
nmm_t_35,en,nmmgn,Mu-zei-ma-huang-duan is a kind of Natural Medicinal Material.,nmm-0009
nmm_t_36,zh,nmmgn_zh,木贼麻黄段是一种天然药材。,nmm-0009
nmm_t_37,en,nmmsn,Ephedra equisetina vel intermedia vel sinica Stem-herbaceous Segmented is a kind of Natural Medicinal Material.,nmm-000a
nmm_t_38,zh,nmmsn_zh,段制木贼麻黄或中麻黄或草麻黄草质茎是一种天然药材。,nmm-000a
nmm_t_39,en,nmmgn,Ma-huang-duan is a kind of Natural Medicinal Material.,nmm-000a
nmm_t_40,zh,nmmgn_zh,麻黄段是一种天然药材。,nmm-000a
nmm_t_41,en,nmmsn,Ephedra sinica Stem-herbaceous Segmented and Aquafried-honey is a kind of Natural Medicinal Material.,nmm-000b
nmm_t_42,zh,nmmsn_zh,蜜炙制段制草麻黄草质茎是一种天然药材。,nmm-000b
nmm_t_43,en,nmmgn,Mi-cao-ma-huang is a kind of Natural Medicinal Material.,nmm-000b
nmm_t_44,zh,nmmgn_zh,蜜草麻黄是一种天然药材。,nmm-000b
nmm_t_45,en,nmmsn,Ephedra intermedia Stem-herbaceous Segmented and Aquafried-honey is a kind of Natural Medicinal Material.,nmm-000c
nmm_t_46,zh,nmmsn_zh,蜜炙制段制中麻黄草质茎是一种天然药材。,nmm-000c
nmm_t_47,en,nmmgn,Mi-zhong-ma-huang is a kind of Natural Medicinal Material.,nmm-000c
nmm_t_48,zh,nmmgn_zh,蜜中麻黄是一种天然药材。,nmm-000c
nmm_t_49,en,nmmsn,Ephedra equisetina Stem-herbaceous Segmented and Aquafried-honey is a kind of Natural Medicinal Material.,nmm-000d
nmm_t_50,zh,nmmsn_zh,蜜炙制段制木贼麻黄草质茎是一种天然药材。,nmm-000d
nmm_t_51,en,nmmgn,Mi-mu-zei-ma-huang is a kind of Natural Medicinal Material.,nmm-000d
nmm_t_52,zh,nmmgn_zh,蜜木贼麻黄是一种天然药材。,nmm-000d
nmm_t_53,en,nmmsn,Ephedra equisetina vel intermedia vel sinica Stem-herbaceous Segmented and Aquafried-honey is a kind of Natural Medicinal Material.,nmm-000e
nmm_t_54,zh,nmmsn_zh,蜜炙制段制木贼麻黄或中麻黄或草麻黄草质茎是一种天然药材。,nmm-000e
nmm_t_55,en,nmmgn,Mi-ma-huang is a kind of Natural Medicinal Material.,nmm-000e
nmm_t_56,zh,nmmgn_zh,蜜麻黄是一种天然药材。,nmm-000e
nmm_t_57,en,nmmsn,Ephedra sinica Rhizome is a kind of Natural Medicinal Material.,nmm-000f
nmm_t_58,zh,nmmsn_zh,草麻黄根茎是一种天然药材。,nmm-000f
nmm_t_59,en,nmmgn,Cao-ma-huang-gen-jing is a kind of Natural Medicinal Material.,nmm-000f
nmm_t_60,zh,nmmgn_zh,草麻黄根茎是一种天然药材。,nmm-000f
nmm_t_61,en,nmmsn,Ephedra sinica Root is a kind of Natural Medicinal Material.,nmm-000g
nmm_t_62,zh,nmmsn_zh,草麻黄根是一种天然药材。,nmm-000g
nmm_t_63,en,nmmgn,Cao-ma-huang-gen is a kind of Natural Medicinal Material.,nmm-000g
nmm_t_64,zh,nmmgn_zh,草麻黄根是一种天然药材。,nmm-000g
nmm_t_65,en,nmmsn,Ephedra sinica Rhizome and Root is a kind of Natural Medicinal Material.,nmm-000h
nmm_t_66,zh,nmmsn_zh,草麻黄根茎与根是一种天然药材。,nmm-000h
nmm_t_67,en,nmmgn,Cao-ma-huang-gen-zhuang is a kind of Natural Medicinal Material.,nmm-000h
nmm_t_68,zh,nmmgn_zh,草麻黄根状是一种天然药材。,nmm-000h
nmm_t_69,en,nmmsn,Ephedra intermedia Rhizome is a kind of Natural Medicinal Material.,nmm-000i
nmm_t_70,zh,nmmsn_zh,中麻黄根茎是一种天然药材。,nmm-000i
nmm_t_71,en,nmmgn,Zhong-ma-huang-gen-jing is a kind of Natural Medicinal Material.,nmm-000i
nmm_t_72,zh,nmmgn_zh,中麻黄根茎是一种天然药材。,nmm-000i
nmm_t_73,en,nmmsn,Ephedra intermedia Root is a kind of Natural Medicinal Material.,nmm-000j
nmm_t_74,zh,nmmsn_zh,中麻黄根是一种天然药材。,nmm-000j
nmm_t_75,en,nmmgn,Zhong-ma-huang-gen is a kind of Natural Medicinal Material.,nmm-000j
nmm_t_76,zh,nmmgn_zh,中麻黄根是一种天然药材。,nmm-000j
nmm_t_77,en,nmmsn,Ephedra intermedia Rhizome and Root is a kind of Natural Medicinal Material.,nmm-000k
nmm_t_78,zh,nmmsn_zh,中麻黄根茎与根是一种天然药材。,nmm-000k
nmm_t_79,en,nmmgn,Zhong-ma-huang-gen-zhuang is a kind of Natural Medicinal Material.,nmm-000k
nmm_t_80,zh,nmmgn_zh,中麻黄根状是一种天然药材。,nmm-000k
nmm_t_81,en,nmmsn,Ephedra intermedia vel sinica Rhizome and Root is a kind of Natural Medicinal Material.,nmm-000l
nmm_t_82,zh,nmmsn_zh,中麻黄或草麻黄根茎与根是一种天然药材。,nmm-000l
nmm_t_83,en,nmmgn,Ma-huang-gen is a kind of Natural Medicinal Material.,nmm-000l
nmm_t_84,zh,nmmgn_zh,麻黄根是一种天然药材。,nmm-000l
nmm_t_85,en,nmmsn,Ephedra sinica Rhizome Sliced is a kind of Natural Medicinal Material.,nmm-000m
nmm_t_86,zh,nmmsn_zh,片制草麻黄根茎是一种天然药材。,nmm-000m
nmm_t_87,en,nmmgn,Cao-ma-huang-gen-jing-pian is a kind of Natural Medicinal Material.,nmm-000m
nmm_t_88,zh,nmmgn_zh,草麻黄根茎片是一种天然药材。,nmm-000m
nmm_t_89,en,nmmsn,Ephedra sinica Root Sliced is a kind of Natural Medicinal Material.,nmm-000n
nmm_t_90,zh,nmmsn_zh,片制草麻黄根是一种天然药材。,nmm-000n
nmm_t_91,en,nmmgn,Cao-ma-huang-gen-pian is a kind of Natural Medicinal Material.,nmm-000n
nmm_t_92,zh,nmmgn_zh,草麻黄根片是一种天然药材。,nmm-000n
nmm_t_93,en,nmmsn,Ephedra sinica Rhizome and Root Sliced is a kind of Natural Medicinal Material.,nmm-000o
nmm_t_94,zh,nmmsn_zh,片制草麻黄根茎与根是一种天然药材。,nmm-000o
